"Fecha"|"Porc_ocupacion"|"Tarifa_promedio"|"Revpar"|"Totaltarifa_ocupadas"|"Propiedad"
"2025-01-01"|0.41025599999999995|325980.4375|133717.1724|5215687|"Sites BAQ"
"2025-01-02"|0.307692|314749.75|96817.0231|3776997|"Sites BAQ"
"2025-01-03"|0.307692|303291.5|93292.4654|3639498|"Sites BAQ"
"2025-01-04"|0.333333|332356.6923|110774.4848|4320637|"Sites BAQ"
"2025-01-05"|0.435897|327380.8824|142672.5875|5565475|"Sites BAQ"
"2025-01-06"|0.307692|288004.4167|88590.1565|3456053|"Sites BAQ"
"2025-01-07"|0.384615|296057.5333|113863.726|4440863|"Sites BAQ"
"2025-01-08"|0.538462|280486.0952|151013.7109|5890208|"Sites BAQ"
"2025-01-09"|0.384615|293904.1333|113035.5284|4408562|"Sites BAQ"
"2025-01-10"|0.333333|299222.0769|99730.7159|3889887|"Sites BAQ"
"2025-01-11"|0.435897|273773|119310.2734|4654141|"Sites BAQ"
"2025-01-12"|0.307692|247845.6667|76237.325|2974148|"Sites BAQ"
"2025-01-13"|0.307692|240214.1667|73889.8756|2882570|"Sites BAQ"
"2025-01-14"|0.307692|241060.5833|74150.2344|2892727|"Sites BAQ"
"2025-01-15"|0.384615|241026.2|92698.6765|3615393|"Sites BAQ"
"2025-01-16"|0.48717900000000003|250174.1579|121859.8285|4753309|"Sites BAQ"
"2025-01-17"|0.615385|251016.6667|154450.5509|6024400|"Sites BAQ"
"2025-01-18"|0.35897399999999996|282287.2857|101312.9048|3952022|"Sites BAQ"
"2025-01-19"|0.25640999999999997|247881.8|63556.8935|2478818|"Sites BAQ"
"2025-01-20"|0.41025599999999995|273002.375|111985.5722|4368038|"Sites BAQ"
"2025-01-21"|0.589744|258990.8696|152726.9101|5956790|"Sites BAQ"
"2025-01-22"|0.435897|255519.5882|111355.433|4343833|"Sites BAQ"
"2025-01-23"|0.333333|266876.6923|88950.0008|3469397|"Sites BAQ"
"2025-01-24"|0.41025599999999995|276979.3125|113616.913|4431669|"Sites BAQ"
"2025-01-25"|0.564103|291430.2273|164395.7871|6411465|"Sites BAQ"
"2025-01-26"|0.41025599999999995|271139.8125|111221.5501|4338237|"Sites BAQ"
"2025-01-27"|0.769231|249424.1333|191857.0408|7482724|"Sites BAQ"
"2025-01-28"|0.769231|249353.3333|191802.5814|7480600|"Sites BAQ"
"2025-01-29"|0.74359|247669.6552|184142.3848|7182420|"Sites BAQ"
"2025-01-30"|0.512821|258229.35|132420.0107|5164587|"Sites BAQ"
"2025-01-31"|0.41025599999999995|271648.6875|111430.2885|4346379|"Sites BAQ"
"2025-02-01"|0.41025599999999995|282981.625|116079.0605|4527706|"Sites BAQ"
"2025-02-02"|0.23076899999999997|245725.6667|56688.9098|2211531|"Sites BAQ"
