"Titulo"|"Valor"|"Id"|"Fecha"|"Propiedad"|"Subconcepto"|"Concepto"|"General"
"01 011 Reservas de clientes que visitan la ciu "|3|3|"2023-01-08"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"02 021 Reservas de clientes que visitan la ciu "|6|3|"2023-01-08"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"02 024 Se refiere a reservas que vienen a la c "|12|3|"2023-01-08"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"House Use                                      "|1|6|"2023-01-08"|"Sites BAQ"|"House Use                                      "|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|2|8|"2023-01-08"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Bloqueadas Por Administración                  "|1|9|"2023-01-08"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|14|11|"2023-01-08"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"01 011 Reservas de clientes que visitan la ciu "|3|3|"2023-01-09"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"02 021 Reservas de clientes que visitan la ciu "|3|3|"2023-01-09"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"02 024 Se refiere a reservas que vienen a la c "|6|3|"2023-01-09"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"House Use                                      "|1|6|"2023-01-09"|"Sites BAQ"|"House Use                                      "|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|2|8|"2023-01-09"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Bloqueadas Por Administración                  "|1|9|"2023-01-09"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|23|11|"2023-01-09"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"01 011 Reservas de clientes que visitan la ciu "|3|3|"2023-01-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"01 012 Reservas de clientes que representan em "|1|3|"2023-01-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"02 021 Reservas de clientes que visitan la ciu "|1|3|"2023-01-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"02 024 Se refiere a reservas que vienen a la c "|1|3|"2023-01-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"House Use                                      "|1|6|"2023-01-10"|"Sites BAQ"|"House Use                                      "|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|2|8|"2023-01-10"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Bloqueadas Por Administración                  "|1|9|"2023-01-10"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|29|11|"2023-01-10"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"01 011 Reservas de clientes que visitan la ciu "|3|3|"2023-01-11"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"01 012 Reservas de clientes que representan em "|3|3|"2023-01-11"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"02 021 Reservas de clientes que visitan la ciu "|2|3|"2023-01-11"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"02 024 Se refiere a reservas que vienen a la c "|4|3|"2023-01-11"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"House Use                                      "|2|6|"2023-01-11"|"Sites BAQ"|"House Use                                      "|"Habitaciones habilitadas"|"Habitaciones totales"
"Complimentary                                  "|1|7|"2023-01-11"|"Sites BAQ"|"Complimentary                                  "|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|3|8|"2023-01-11"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|21|11|"2023-01-11"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"01 011 Reservas de clientes que visitan la ciu "|2|3|"2023-01-12"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
