"Titulo"|"Valor"|"Id"|"Fecha"|"Propiedad"|"Subconcepto"
"01 011 Reservas de clientes que visitan la ciu "|3|15|"2023-01-08"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|16|15|"2023-01-08"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|39|15|"2023-01-08"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-01-08"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|3|15|"2023-01-09"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|7|15|"2023-01-09"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|21|15|"2023-01-09"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-01-09"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|3|15|"2023-01-10"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-01-10"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|7|15|"2023-01-10"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|1|15|"2023-01-10"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-01-10"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|4|15|"2023-01-11"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|4|15|"2023-01-11"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|6|15|"2023-01-11"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|13|15|"2023-01-11"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-11"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|2|18|"2023-01-11"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|6|15|"2023-01-12"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|4|15|"2023-01-12"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-01-12"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|11|15|"2023-01-12"|"Sites BAQ"|"Huespedes"
