"Titulo"|"Valor"|"Id"|"Fecha"|"Propiedad"
"ALOJAMIENTO"|5830549|54|"2023-01-08"|"Sites BAQ"
"ALOJAMIENTO"|3257159|54|"2023-01-09"|"Sites BAQ"
"ALOJAMIENTO"|1547530|54|"2023-01-10"|"Sites BAQ"
"ALOJAMIENTO"|3598712|54|"2023-01-11"|"Sites BAQ"
"ALOJAMIENTO"|2640109|54|"2023-01-12"|"Sites BAQ"
"ALOJAMIENTO"|2612837|54|"2023-01-13"|"Sites BAQ"
"ALOJAMIENTO"|3476475|54|"2023-01-14"|"Sites BAQ"
"ALOJAMIENTO"|1700557|54|"2023-01-15"|"Sites BAQ"
"ALOJAMIENTO"|777978|54|"2023-01-16"|"Sites BAQ"
"ALOJAMIENTO"|1266900|54|"2023-01-17"|"Sites BAQ"
"ALOJAMIENTO"|3312430|54|"2023-01-18"|"Sites BAQ"
"ALOJAMIENTO"|3646230|54|"2023-01-19"|"Sites BAQ"
"ALOJAMIENTO"|3421750|54|"2023-01-20"|"Sites BAQ"
"ALOJAMIENTO"|4561768|54|"2023-01-21"|"Sites BAQ"
"ALOJAMIENTO"|1637200|54|"2023-01-22"|"Sites BAQ"
"ALOJAMIENTO"|735400|54|"2023-01-23"|"Sites BAQ"
"ALOJAMIENTO"|2708500|54|"2023-01-24"|"Sites BAQ"
"ALOJAMIENTO"|3417900|54|"2023-01-25"|"Sites BAQ"
"ALOJAMIENTO"|5996600|54|"2023-01-26"|"Sites BAQ"
"ALOJAMIENTO"|4616044|54|"2023-01-27"|"Sites BAQ"
"ALOJAMIENTO"|4017714|54|"2023-01-28"|"Sites BAQ"
"ALOJAMIENTO"|1474200|54|"2023-01-29"|"Sites BAQ"
"ALOJAMIENTO"|1461250|54|"2023-01-30"|"Sites BAQ"
"ALOJAMIENTO"|2385550|54|"2023-01-31"|"Sites BAQ"
"ALOJAMIENTO"|2831800|54|"2023-02-01"|"Sites BAQ"
"ALOJAMIENTO"|2101200|54|"2023-02-02"|"Sites BAQ"
"ALOJAMIENTO"|3628900|54|"2023-02-03"|"Sites BAQ"
"ALOJAMIENTO"|3362598|54|"2023-02-04"|"Sites BAQ"
"ALOJAMIENTO"|2170698|54|"2023-02-05"|"Sites BAQ"
"ALOJAMIENTO"|3236350|54|"2023-02-06"|"Sites BAQ"
"ALOJAMIENTO"|2933850|54|"2023-02-07"|"Sites BAQ"
"ALOJAMIENTO"|3694610|54|"2023-02-08"|"Sites BAQ"
"ALOJAMIENTO"|5498910|54|"2023-02-09"|"Sites BAQ"
